Mean temperature (°C),Mean precipitation (mm),Mean relative humidity (%),Urban population (%),GDP per capita (PPP),International tourism arrivals,International tourism departures,Population density (people/km²),Population size,Log incidence rate,meanshift_cluster
12.11,291.75,42.46,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,8333825.999999999,0.0,0
11.75,403.99,47.87,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,8468212.0,0.0,0
11.27,375.64,45.69,8.401,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,8622466.0,0.0,0
11.35,377.88,46.12,8.684,16149.92825119405,8492220.782080764,10890109.50999668,14.127045674072,8790140.0,0.0,0
11.12,300.84,44.36,8.976,16149.92825119405,8492220.782080764,10890109.50999668,14.4188491789706,8969046.0,0.0,0
12.38,343.42,45.08,9.276,16149.92825119405,8492220.782080764,10890109.50999668,14.7256136638916,9157464.0,0.0,0
10.38,384.51,45.41,9.586,16149.92825119405,8492220.782080764,10890109.50999668,15.0473268632231,9355514.0,0.0,0
11.21,390.93,47.22,9.904,16149.92825119405,8492220.782080764,10890109.50999668,15.3872222988823,9565147.0,0.0,0
11.62,301.13,43.32,10.233,16149.92825119405,8492220.782080764,10890109.50999668,15.7404519877957,9783147.0,0.0,0
11.03,421.26,48.16,10.57,16149.92825119405,8492220.782080764,10890109.50999668,16.1077518666728,10010030.0,0.0,0
11.03,410.44,48.64,10.918,16149.92825119405,8492220.782080764,10890109.50999668,16.4925287091977,10247780.0,0.0,0
11.61,412.0,49.16,11.275,16149.92825119405,8492220.782080764,10890109.50999668,16.8919077625991,10494490.0,0.0,0
12.46,286.76,44.05,11.643,16149.92825119405,8492220.782080764,10890109.50999668,17.3100409364795,10752972.0,0.0,0
12.7,247.6,41.35,12.021,16149.92825119405,8492220.782080764,10890109.50999668,17.7355641414838,11015857.0,0.0,0
10.13,497.0,51.28,12.41,16149.92825119405,8492220.782080764,10890109.50999668,18.1741042270365,11286752.0,0.0,0
11.99,330.46,45.81,12.809,16149.92825119405,8492220.782080764,10890109.50999668,18.6406620363982,11575304.0,0.0,0
10.96,366.28,46.16,13.219,16149.92825119405,8492220.782080764,10890109.50999668,19.1176839458473,11869878.0,0.0,0
11.04,351.28,46.66,13.641,16149.92825119405,8492220.782080764,10890109.50999668,19.5850451527835,12157386.0,0.0,0
11.63,424.94,48.42,14.074,16149.92825119405,8492220.782080764,10890109.50999668,20.0233828557411,12425268.0,0.0,0
12.71,376.1,46.39,14.517,16149.92825119405,8492220.782080764,10890109.50999668,20.4540668169204,12687302.0,0.0,0
12.2,339.42,46.61,14.973,16149.92825119405,8492220.782080764,10890109.50999668,20.8690814589945,12938862.0,0.0,0
11.81,398.22,47.63,15.442,16149.92825119405,8492220.782080764,10890109.50999668,20.936735507413,12986369.0,0.0,0
12.43,417.93,48.33,15.995,16149.92825119405,8492220.782080764,10890109.50999668,20.1912070895236,12486632.0,0.0,0
12.19,410.79,48.41,16.562,16149.92825119405,8492220.782080764,10890109.50999668,18.302716833019,11155195.0,0.0,0
10.82,498.93,53.75,17.147,16149.92825119405,8492220.782080764,10890109.50999668,16.8519969949251,10088288.0,0.0,0
11.74,373.33,49.88,17.747,16149.92825119405,8492220.782080764,10890109.50999668,16.7394661392454,9951449.0,0.0,0
11.63,338.27,47.86,18.365,16149.92825119405,8492220.782080764,10890109.50999668,17.1568633764163,10243686.0,0.0,0
12.21,316.98,46.66,18.997,16149.92825119405,8492220.782080764,10890109.50999668,17.5196663753584,10512222.0,0.0,0
11.3,392.11,47.23,19.647,16149.92825119405,8492220.782080764,10890109.50999668,17.5092743357405,10448442.0,0.0,0
12.62,350.27,45.01,20.314,16149.92825119405,8492220.782080764,10890109.50999668,17.4598193888659,10322758.0,0.0,0
12.88,374.1,46.78,20.998,16149.92825119405,8492220.782080764,10890109.50999668,17.6675375251062,10383460.0,0.0,0
10.9,374.25,47.04,21.088,16149.92825119405,8492220.782080764,10890109.50999668,18.205369271576,10673168.0,0.0,0
12.22,392.27,47.92,21.177,16149.92825119405,8492220.782080764,10890109.50999668,18.4684237155605,10694796.0,0.0,0
11.22,525.41,51.81,21.266,16149.92825119405,8492220.782080764,10890109.50999668,18.7646673719393,10745167.0,0.0,0
10.95,486.02,50.57,21.355,16149.92825119405,8492220.782080764,10890109.50999668,20.3593425632062,12057433.0,0.0,0
11.48,356.51,47.18,21.444,16149.92825119405,8492220.782080764,10890109.50999668,22.9108933965012,14003760.0,0.0,0
11.85,378.26,47.96,21.534,16149.92825119405,8492220.782080764,10890109.50999668,24.9157413795747,15455554.0,0.0,0
11.71,366.3,46.16,21.624,16149.92825119405,8492220.782080764,10890109.50999668,26.1653649786118,16418912.0,0.0,0
11.45,368.1,46.24,21.714,16149.92825119405,8492220.782080764,10890109.50999668,27.2346656854177,17106595.0,0.0,0
11.61,420.69,48.54,21.805,16149.92825119405,8492220.782080764,10890109.50999668,28.2907731935054,17788819.0,0.0,0
12.65,407.78,45.88,21.895,16149.92825119405,8492220.782080764,10890109.50999668,29.3761341857934,18493132.0,0.0,0
12.55,350.35,45.98,21.986,16149.92825119405,8492220.782080764,10890109.50999668,30.49198135627,19262847.0,0.0,0
12.56,222.32,41.11,22.078,813.550255990893,8492220.782080764,10890109.50999668,30.8638471091486,19542982.0,0.0,0
13.41,205.64,39.06,22.169,747.688045459929,8492220.782080764,10890109.50999668,31.099929472732,19688632.0,0.0,0
13.05,307.55,42.31,22.261,926.507941009788,8492220.782080764,10890109.50999668,32.77696058139,21000256.0,0.0,0
12.48,353.28,44.4,22.353,966.962032047533,8492220.782080764,10890109.50999668,34.8543443263879,22645130.0,0.0,0
13.19,319.09,42.67,22.5,971.633503058856,8492220.782080764,10890109.50999668,36.1232295355933,23553551.0,0.0,0
11.98,376.73,47.22,22.703,1076.08735259624,8492220.782080764,10890109.50999668,37.4171181945019,24411191.0,0.0,0
13.4,349.26,45.07,22.907,1121.83447075137,8492220.782080764,10890109.50999668,38.9802584977692,25442944.0,0.0,0
12.53,341.61,46.06,23.113,1286.9498431073,8492220.782080764,10890109.50999668,39.7250233813225,25903301.0,0.0,0
12.69,280.96,43.12,23.32,1333.74726659751,8492220.782080764,10890109.50999668,40.6031951918802,26427199.0,0.0,0
12.33,423.47,47.71,23.528,1570.69814518678,8492220.782080764,10890109.50999668,42.1110666482682,27385307.0,0.0,0
13.41,335.88,42.63,23.737,1765.53802828895,8492220.782080764,10890109.50999668,43.3652070588596,28189672.0,0.0,0
13.0,352.62,43.94,23.948,1744.06062321558,8492220.782080764,10890109.50999668,44.9959492816951,29249157.0,0.0,0
11.6,388.37,45.78,24.16,1988.42930381554,8492220.782080764,10890109.50999668,46.8546892967205,30466479.0,0.0,0
12.83,335.4,45.0,24.373,2133.24127098647,8492220.782080764,10890109.50999668,48.4839765113534,31541209.0,0.0,0
12.31,351.32,44.12,24.587,2224.49074815215,8492220.782080764,10890109.50999668,50.2775447311531,32716210.0,0.0,0
12.96,399.88,46.47,24.803,2284.07584789349,8492220.782080764,10890109.50999668,51.8709105683578,33753499.0,0.0,0
13.74,316.19,43.04,25.02,2213.1814410479,8492220.782080764,10890109.50999668,53.2030296061205,34636207.0,0.0,0
13.54,327.31,41.52,25.25,2335.79586234454,8492220.782080764,10890109.50999668,54.7183278904681,35643418.0,0.0,0
13.72,283.99,40.42,25.495,2432.27670083336,8492220.782080764,10890109.50999668,56.3344817012404,36686784.0,0.0,0
12.96,437.12,45.75,25.754,2583.48533239877,8492220.782080764,10890109.50999668,58.0410606687825,37769498.0,0.0,0
12.31,408.16,45.45,26.026,2561.98176058622,8492220.782080764,10890109.50999668,59.9006163469942,38972230.0,0.0,0
13.95,214.54,37.23,26.314,2144.16657002819,8492220.782080764,10890109.50999668,61.3286907992579,40099462.0,2.434849854452807,0
13.74,321.1,44.12,26.616,2122.99581512665,8492220.782080764,10890109.50999668,62.2155405301811,41128771.0,0.0,0
20.99,1289.23,62.91,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,4478184.0,0.0,0
21.26,1391.96,63.49,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,4569738.0,0.0,0
21.58,1263.96,61.4,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,4663958.0,0.0,0
21.23,1200.0,62.65,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,4758724.0,0.0,0
22.23,698.86,49.3,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,4850458.0,0.0,0
21.31,984.49,59.12,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,4938118.0,0.0,0
21.24,1002.15,58.3,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,5022108.0,0.0,0
21.44,1317.26,63.87,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,5104328.0,0.0,0
21.42,1022.43,61.04,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,5185839.0,0.0,0
21.51,1309.01,64.95,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,5269947.0,0.0,0
21.23,1328.88,66.3,10.435,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,5357196.0,0.0,0
21.19,1367.36,68.18,10.798,16149.92825119405,8492220.782080764,10890109.50999668,4.25249298147108,5441333.0,0.0,0
21.25,1195.71,65.69,11.204,16149.92825119405,8492220.782080764,10890109.50999668,4.29478623566215,5521400.0,0.0,0
21.05,1251.6,68.94,11.624,16149.92825119405,8492220.782080764,10890109.50999668,4.33810860672175,5599827.0,0.0,0
21.23,1081.46,63.68,12.058,16149.92825119405,8492220.782080764,10890109.50999668,4.38292051014679,5673199.0,0.0,0
21.21,1204.52,63.34,12.504,16149.92825119405,8492220.782080764,10890109.50999668,4.42927809416861,5736582.0,0.0,0
21.74,1187.93,64.35,12.965,16149.92825119405,8492220.782080764,10890109.50999668,4.47692788962862,5787044.0,0.0,0
21.1,1320.92,66.57,13.441,16149.92825119405,8492220.782080764,10890109.50999668,4.52539263656052,5827503.0,0.0,0
21.2,1143.37,64.28,13.932,16149.92825119405,8492220.782080764,10890109.50999668,4.57423518087752,5868203.0,0.0,0
21.4,1329.04,66.07,14.436,16149.92825119405,8492220.782080764,10890109.50999668,4.62315312424801,5928386.0,0.0,0
21.59,1135.58,63.34,14.957,16149.92825119405,8492220.782080764,10890109.50999668,4.69462420790888,6029700.0,0.0,0
21.27,1060.76,63.5,15.632,16149.92825119405,8492220.782080764,10890109.50999668,4.80556830031283,6177049.0,0.0,0
21.24,1120.19,64.67,16.455,16149.92825119405,8492220.782080764,10890109.50999668,4.95248415817759,6364732.0,0.0,0
21.78,1009.98,62.25,17.31,16149.92825119405,8492220.782080764,10890109.50999668,5.12435068581054,6578230.0,0.0,0
20.85,1123.78,65.98,18.202,16149.92825119405,8492220.782080764,10890109.50999668,5.3046980027272,6802494.0,0.0,0
21.13,1081.58,64.47,19.128,16149.92825119405,8492220.782080764,10890109.50999668,5.48884815914013,7032713.0,0.0,0
20.79,1289.11,66.31,20.092,16149.92825119405,8492220.782080764,10890109.50999668,5.67471244084383,7266780.0,0.0,0
21.59,1125.07,64.1,21.088,16149.92825119405,8492220.782080764,10890109.50999668,5.86975936472287,7511894.0,0.0,0
21.34,1041.35,63.87,22.122,16149.92825119405,8492220.782080764,10890109.50999668,6.07743161947541,7771590.0,0.0,0
21.57,1166.42,64.67,23.192,16149.92825119405,8492220.782080764,10890109.50999668,6.29438277051416,8043218.0,0.0,0
21.96,886.18,59.14,24.298,16149.92825119405,8492220.782080764,10890109.50999668,6.52432180957728,8330046.0,0.0,0
21.76,970.34,60.07,25.437,16149.92825119405,8492220.782080764,10890109.50999668,6.76634876072832,8631456.0,0.0,0
21.54,1101.74,64.39,26.612,16149.92825119405,8492220.782080764,10890109.50999668,7.01985080612818,8947152.0,0.0,0
22.04,1080.08,62.5,27.821,16149.92825119405,8492220.782080764,10890109.50999668,7.2856204379562,9276706.0,0.0,0
21.73,1170.75,63.09,29.065,16149.92825119405,8492220.782080764,10890109.50999668,7.56069383171573,9617702.0,0.0,0
21.61,963.56,60.62,30.338,16149.92825119405,8492220.782080764,10890109.50999668,7.84400417101147,9970621.0,0.0,0
21.51,1200.97,63.85,31.643,16149.92825119405,8492220.782080764,10890109.50999668,8.13303120237427,10332574.0,0.0,0
22.27,1096.85,62.09,32.978,16149.92825119405,8492220.782080764,10890109.50999668,8.42051656372824,10694057.0,0.0,0
21.91,1261.84,64.58,34.343,16149.92825119405,8492220.782080764,10890109.50999668,8.71203256597417,11060260.0,0.0,0
21.83,1036.61,62.01,35.731,16149.92825119405,8492220.782080764,10890109.50999668,9.01464827143659,11439498.0,0.0,0
22.03,1214.33,63.88,37.144,3340.5984816713,8492220.782080764,10890109.50999668,9.32570786877356,11828638.0,0.0,0
21.85,1128.38,63.0,38.58,3372.59696858821,8492220.782080764,10890109.50999668,9.64428411005053,12228690.0,0.0,0
21.81,1088.7,63.13,40.039,3143.440610338,8492220.782080764,10890109.50999668,9.96527793374509,12632507.0,0.0,0
21.81,1213.88,64.32,41.511,2369.24183154455,8492220.782080764,10890109.50999668,10.2888706184327,13038270.0,0.0,0
21.89,1076.98,61.48,43.0,2374.02082091628,8492220.782080764,10890109.50999668,10.6278687735622,13462031.0,0.0,0
22.29,1110.39,61.81,44.169,2695.80598498959,9000.0,3000.0,10.9888329189059,13912252.0,0.0,0
22.17,1015.0,59.67,45.346,3013.33281304468,21000.0,3000.0,11.3667867169327,14383350.0,0.0,0
22.04,1126.56,61.74,46.525,3178.49480246135,45000.0,10890109.50999668,11.759375150397,14871146.0,0.0,0
22.63,1167.88,61.28,47.71,3254.24447466604,52000.0,10890109.50999668,12.1595973369696,15366864.0,0.0,0
21.82,1226.6,62.56,48.897,3262.97552882462,45000.0,10890109.50999668,12.5669647870378,15870752.0,0.0,0
21.86,1058.64,61.86,50.087,3326.77991383311,51000.0,10890109.50999668,12.9901892997513,16394062.000000002,0.0,0
21.88,1159.24,63.11,51.274,3427.85394948502,67000.0,10890109.50999668,13.4332301275367,16941587.0,0.0,0
22.07,1232.6,63.63,52.461,3824.28480436462,91000.0,10890109.50999668,13.8988521697281,17516139.0,0.0,0
22.22,1135.17,62.4,53.645,3878.50795455112,107000.0,10890109.50999668,14.392967032967,18124342.0,0.0,0
21.88,1148.11,62.8,54.827,4262.90601264127,194000.0,10890109.50999668,14.9197264779017,18771125.0,0.0,0
22.43,1127.38,61.86,56.0,4876.28768389176,210000.0,10890109.50999668,15.4737795780861,19450959.0,0.0,0
21.71,1218.58,64.07,56.764,5404.38383004397,121000.0,10890109.50999668,16.0546073634395,20162340.0,0.0,0
22.08,1095.95,61.12,57.524,6095.99926680138,195000.0,10890109.50999668,16.6668492821048,20909684.0,0.0,0
21.98,1145.27,60.85,58.282,6651.37774105467,294000.0,10890109.50999668,17.3086187535093,21691522.0,0.0,0
22.25,1141.28,61.3,59.034,6498.16928212825,366000.0,10890109.50999668,17.9792837089917,22507674.0,0.0,0
22.35,1202.21,62.25,59.783,6607.02219696569,425000.0,10890109.50999668,18.6851888986925,23364185.0,0.0,0
21.87,1227.49,62.95,60.528,6711.39025723883,481000.0,10890109.50999668,19.4259661506377,24259111.0,0.0,0
22.16,1056.17,60.08,61.268,7354.94296631261,528000.0,10890109.50999668,20.1952306088073,25188292.0,0.0,0
22.39,1073.37,59.4,62.002,7561.03920495179,650000.0,10890109.50999668,20.9879040667362,26147002.0,0.0,0
22.41,1097.88,61.11,62.731,7990.27445672775,595000.0,10890109.50999668,21.7861305847437,27128337.0,0.0,0
22.82,1086.58,59.84,63.446,7119.72644274401,592000.0,10890109.50999668,22.5858650838213,28127721.0,0.0,0
22.89,1174.58,61.16,64.149,6843.73589660504,397000.0,10890109.50999668,23.4082537900056,29154746.0,0.0,0
22.67,1054.15,61.41,64.839,6992.7288342812,261000.0,10890109.50999668,24.2518962059838,30208628.0,0.0,0
22.76,1124.22,61.43,65.514,7347.79993635052,218000.0,10890109.50999668,25.1039985561883,31273533.0,0.0,0
23.27,1057.26,59.58,66.177,7528.38241791217,218000.0,10890109.50999668,25.969063928772,32353588.0,0.0,0
22.63,1209.98,61.82,66.825,6450.74994625154,8492220.782080764,10890109.50999668,26.8317413972888,33428485.999999996,0.0,0
22.56,967.91,60.32,67.46,7408.12659121059,8492220.782080764,10890109.50999668,27.6990687414775,34503774.0,0.0,0
22.3,1056.18,61.23,68.081,7924.88880583905,8492220.782080764,10890109.50999668,28.5834835966953,35588987.0,0.0,0
25.32,857.09,79.06,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,5017.0,0.0,0
25.81,948.48,78.78,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,5244.0,0.0,0
25.97,691.91,77.75,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,5403.0,0.0,0
25.95,660.28,78.45,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,5529.0,0.0,0
25.62,896.63,78.81,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,5658.0,0.0,0
25.51,830.14,78.84,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,5752.0,0.0,0
25.59,647.35,78.83,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,5787.0,0.0,0
25.78,691.23,79.1,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,5793.0,0.0,0
26.29,821.58,79.44,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,5783.0,0.0,0
